"year","name","tot","n.all","n.used","hi","lo","sd","board.rk"
2013,"Mouphtaou Yarou",21,2,2,88,93,3.53553390593274,114
2013,"Travis Releford",20,3,2,86,122,18.5831464863551,116
2013,"Doug Anderson",20,1,1,81,81,,116
2013,"Aziz N'Diaye",18,2,1,83,108,17.6776695296637,118
2013,"Strahinja Stojacic",18,1,1,83,83,,118
2013,"Nick Minnerath",17,1,1,84,84,,120
2013,"Ramon Galloway",16,2,1,85,118,23.3345237791561,121
2013,"Leo Westermann",15,1,1,86,86,,122
2013,"Zeke Adams",15,1,1,64,64,,122
2013,"Brandon Triche",14,3,2,93,111,9.8657657246325,124
2013,"Dwayne Davis",13,1,1,88,88,,125
2013,"Derrick Nix",12,1,1,89,89,,126
2013,"Jordan Henriquez",12,1,1,89,89,,126
2013,"E.J. Singler",11,1,1,90,90,,128
2013,"Dexter Strickland",9,1,1,92,92,,129
2013,"Tyler Brown",9,1,1,92,92,,129
2013,"Joan Sastre",7,1,1,94,94,,131
2013,"Vincent Council",7,1,1,94,94,,131
2013,"Norvel Pelle",6,1,1,95,95,,133
2013,"Ra'Shad James",6,1,1,95,95,,133
2013,"Angelo Sharpless",5,1,1,96,96,,135
2013,"Ian Clark",4,2,1,97,116,13.4350288425444,136
2013,"Reggie Johnson",4,2,1,97,110,9.19238815542512,136
2013,"Rotnei Clarke",3,2,1,98,128,21.2132034355964,138
2013,"Devin Booker Clemson",3,1,1,98,98,,138
2013,"Keion Bell",3,1,1,98,98,,138
2013,"Tony Woods",3,1,1,98,98,,138
2013,"Vander Joaquim",2,1,1,99,99,,142
2013,"Marshawn Powell",1,1,1,100,100,,143
2013,"Mindaugas Kupsas",1,1,1,100,100,,143
2013,"Andrew Smith",0,1,0,101,101,,145
2013,"Chase Tapley",0,1,0,106,106,,145
2013,"Josiah Turner",0,1,0,126,126,,145
2013,"Kevin Dillard",0,1,0,120,120,,145
2013,"Larry Drew II",0,1,0,127,127,,145
2013,"Murphy Holloway",0,1,0,109,109,,145
2013,"Scott Wood",0,1,0,121,121,,145
2013,"Trent Lockett",0,1,0,107,107,,145
2014,"Patric Young",413,10,10,34,59,9.71596624119289,41
2014,"Khem Birch",399,8,8,32,55,8.64787339672097,43
2014,"Artem Klimenko",388,9,9,37,68,11.1853078237083,44
2014,"Jahii Carson",268,8,8,36,86,15.0332963783729,54
2014,"Jabari Brown",262,7,7,46,85,15.2252922405294,55
